,ID,etmiss,mtw,leadleptPt,leadleptEta,leadleptE,leadleptPhi,Q_leadlep,leadleptID,n_TopLRjets,leadTopLRjet_pt,leadTopLRjet_eta,leadTopLRjet_phi,leadTopLRjet_m,leadTopLRjet_Tau32,n_jets,leadjet_pt,leadjet_eta,n_bjets,leadbjet_pt,leadbjet_eta,ttbarMLR,largeRjet_pt_total,largeRjet_eta_total,largeRjet_phi_total,largeRjet_m_total,largeRjet_tau32_total,weight,scale,label
17,signal,236.876,7.63652,76.5914,-0.137386,77.3154,-2.74801,-1,13,1,483.367,-0.280224,0.192416,181.764,0.390336,1,194.781,-0.829634,2,194.781,-0.829634,783.041,483.367,-0.280224,0.192416,181.764,0.390336,1.43216,0.0567221,1
18,signal,235.832,68.1702,174.194,0.164877,176.567,-2.95825,-1,11,1,383.782,1.11437,0.455246,171.264,0.32408,1,35.7369,-0.0422232,2,253.985,1.22497,657.94,383.782,1.11437,0.455246,171.264,0.32408,1.05158,0.0567221,1
19,signal,160.971,49.5263,32.47,-0.175934,32.974,-3.00797,-1,13,1,459.173,0.914992,0.44544,170.272,0.5223,1,242.581,0.983602,2,360.529,0.959592,762.548,459.173,0.914992,0.44544,170.272,0.5223,0.716838,0.0567221,1
20,signal,126.857,33.4174,99.1838,-1.20077,179.703,1.25498,1,11,1,404.409,-1.41659,-1.97928,131.666,0.678659,1,217.136,-0.623524,2,217.136,-0.623524,778.645,718.357,-2.29071,-0.873221,223.665,1.14072,1.04388,0.0567221,1
21,signal,62.7782,56.2309,220.488,0.719883,280.13,2.49665,1,11,1,407.928,0.0183542,-0.590552,180.412,0.438322,1,149.061,1.3571,2,156.17,0.382399,931.441,753.688,0.965507,1.90517,292.024,1.09017,1.05979,0.0567221,1
22,signal,121.162,48.5129,137.755,0.770907,180.756,-2.58798,-1,13,1,404.665,0.858104,0.47007,171.278,0.196191,1,224.967,0.329509,1,224.967,0.329509,811.436,404.665,0.858104,0.47007,171.278,0.196191,0.851979,0.0567221,1
23,signal,23.7917,64.5048,94.4371,1.42193,207.117,-0.127139,-1,13,1,380.187,-0.364621,2.84259,143.961,0.331775,2,229.185,1.06563,1,53.3703,0.367837,0.0,380.187,-0.364621,2.84259,143.961,0.331775,1.25129,0.0567221,1
24,signal,62.6184,114.45,80.0607,0.478857,89.4166,-1.07455,-1,13,1,308.217,-1.38745,2.73453,105.576,0.698087,3,154.094,-0.43191,2,154.094,-0.43191,686.985,308.217,-1.38745,2.73453,105.576,0.698087,1.05692,0.0567221,1
25,signal,114.877,53.6358,191.1,1.43517,424.091,3.01474,1,13,1,329.13,0.0234972,-0.208829,175.947,0.432533,1,76.7126,0.827281,1,123.854,-0.330906,0.0,329.13,0.0234972,-0.208829,175.947,0.432533,1.03486,0.0567221,1
26,signal,248.791,84.1234,85.7362,-0.293307,89.4506,0.272774,-1,11,1,337.488,-1.21563,2.77193,128.69,0.285593,3,88.0648,-2.18559,2,92.5888,-0.895322,0.0,337.488,-1.21563,2.77193,128.69,0.285593,1.12973,0.0567221,1
27,signal,65.0456,25.7691,156.122,0.718855,198.228,1.66522,-1,11,1,344.746,-0.289405,-1.58676,131.893,0.264197,2,86.9542,1.35273,2,265.383,-0.202301,0.0,638.718,0.701131,0.0400318,240.562,0.50194,0.915571,0.0567221,1
28,signal,103.082,87.4624,169.68,-0.739431,218.219,2.94984,-1,13,1,321.974,0.45867,-0.629729,169.828,0.540092,1,42.8676,-0.97019,1,42.8676,-0.97019,658.568,321.974,0.45867,-0.629729,169.828,0.540092,1.01304,0.0567221,1
